id,path,name,position,language,loc,words,keywords/globals.json,keywords/builtins.json,keywords/global.json,keywords/inspect.json,keywords/locals.json,keywords/nonlocal.json,loop_statements,loop_nestings,if_statements,if_nestings,functions_calls,function_calls_nestings,params,param_kw_match,parse_error
500871419,tot_projects/0/500871419-581dee668b263e5bb74db99202acabf30ecebb85/tedomi2705-kernel_xiaomi_sdm660-581dee6/scripts/gdb/linux/utils.py.functions/129-1,get_gdbserver_type,129:1,python,28,76,0,0,2,0,0,0,0,0,3,2,7,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/sqlalchemy/connectors/mxodbc.py.functions/56-5,_load_mx_exceptions,56:5,python,8,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/idlelib/macosx.py.functions/16-1,_init_tk_type,16:1,python,20,59,0,0,1,0,0,0,0,0,2,2,4,1,0,0,none
500871419,tot_projects/0/500871419-581dee668b263e5bb74db99202acabf30ecebb85/tedomi2705-kernel_xiaomi_sdm660-581dee6/scripts/gdb/linux/modules.py.functions/22-1,module_list,22:1,python,10,30,0,0,1,0,0,0,1,1,0,0,4,2,0,0,none
763189234,tot_projects/0/763189234-3366aaa0ff94a444d6cfa84651dfa244d6ec25e1/TahlilMahfuz-CSE-4618_Artificial-Intelligence-Lab-3366aaa/Lab02/usearch/graphicsUtils.py.functions/48-1,sleep,48:1,python,8,23,0,0,1,0,0,0,0,0,1,1,5,2,0,0,none
763189234,tot_projects/0/763189234-3366aaa0ff94a444d6cfa84651dfa244d6ec25e1/TahlilMahfuz-CSE-4618_Artificial-Intelligence-Lab-3366aaa/Lab02/usearch/graphicsUtils.py.functions/57-1,begin_graphics,57:1,python,40,113,0,0,1,0,0,0,0,0,1,1,19,1,0,0,none
763189234,tot_projects/0/763189234-3366aaa0ff94a444d6cfa84651dfa244d6ec25e1/TahlilMahfuz-CSE-4618_Artificial-Intelligence-Lab-3366aaa/Lab02/usearch/graphicsUtils.py.functions/102-1,_leftclick,102:1,python,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,none
763189234,tot_projects/0/763189234-3366aaa0ff94a444d6cfa84651dfa244d6ec25e1/TahlilMahfuz-CSE-4618_Artificial-Intelligence-Lab-3366aaa/Lab02/usearch/graphicsUtils.py.functions/106-1,_rightclick,106:1,python,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,none
763189234,tot_projects/0/763189234-3366aaa0ff94a444d6cfa84651dfa244d6ec25e1/TahlilMahfuz-CSE-4618_Artificial-Intelligence-Lab-3366aaa/Lab02/usearch/graphicsUtils.py.functions/110-1,_ctrl_leftclick,110:1,python,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,none
763189234,tot_projects/0/763189234-3366aaa0ff94a444d6cfa84651dfa244d6ec25e1/TahlilMahfuz-CSE-4618_Artificial-Intelligence-Lab-3366aaa/Lab02/usearch/graphicsUtils.py.functions/114-1,wait_for_click,114:1,python,18,43,0,0,3,0,0,0,1,1,3,1,1,1,0,0,none
